Dam_ID,start,end,duration,cumulative_intensity,mean_intensity,max_intensity,drought_id
41,1980-04-01,1980-04-30,30,3519.126,151.743,89.452,1
41,1982-04-30,1982-05-23,24,863.767,334.574,300.718,3
41,1985-03-15,1985-05-17,64,4018.511,218.492,97.459,7
41,1987-11-13,1987-11-25,13,347.582,848.277,813.463,11
41,1987-11-27,1987-12-02,6,103.454,793.459,780.699,13
41,1988-03-05,1988-04-23,50,4527.959,156.201,90.227,17
41,1989-02-23,1989-04-26,63,5968.656,157.514,91.717,19
41,1991-04-17,1991-05-18,32,1139.995,291.888,257.142,23
41,1994-10-04,1994-10-28,25,475.621,1008.102,980.664,35
41,1995-04-16,1995-05-17,32,2288.777,252.052,215.293,41
41,1998-04-20,1998-04-30,11,154.539,277.864,262.375,43
41,1998-10-24,1998-10-28,5,73.17,984.696,974.019,47
41,1998-10-30,1998-11-11,13,257.922,931.762,902.068,49
41,1999-03-10,1999-04-11,33,4036.114,115.339,3.088,51
41,1999-04-27,1999-06-16,51,13951.18,160.535,6.848,53
41,2001-09-03,2001-11-14,73,6115.733,936.755,860.332,55
41,2002-04-02,2002-04-14,13,442.145,211.825,193.135,57
41,2002-04-25,2002-05-29,35,2114.023,313.882,276.563,59
41,2006-03-17,2006-05-17,62,6406.42,179.387,111.194,61
41,2008-03-24,2008-05-20,58,8463.299,152.298,80.607,63
41,2011-04-23,2011-06-01,40,3865.851,281.98,198.527,65
41,2012-04-03,2012-04-24,22,895.362,221.023,203.574,67
41,2015-10-24,2015-10-30,7,86.355,978.6,964.798,73
41,2017-10-06,2017-10-21,16,282.345,1018.114,993.347,75
41,2018-03-09,2018-05-09,62,9855.95,106.006,34.445,77
41,2018-10-05,2018-11-04,31,1594.236,961.879,898.026,79
41,2019-03-16,2019-05-18,64,5919.033,191.309,111.865,81
41,2019-07-16,2020-01-03,172,35715.225,707.282,553.155,83
42,1980-05-07,1980-05-15,9,11.127,103.685,102.766,12
42,1980-10-02,1980-10-06,5,5.094,102.688,101.648,32
42,1980-11-13,1980-11-20,8,9.374,102.757,102.081,38
42,1980-11-22,1980-12-02,11,15.943,102.575,101.596,40
42,1980-12-12,1980-12-25,14,24.462,102.516,101.699,46
42,1981-02-12,1981-02-16,5,3.206,104.24,103.079,54
42,1982-04-04,1982-04-08,5,6.196,103.845,103.111,144
42,1982-11-25,1982-11-30,6,3.119,103.505,102.932,166
42,1983-01-27,1983-01-31,5,5.276,103.665,102.974,188
42,1983-02-10,1983-02-14,5,3.683,104.12,103.245,192
42,1983-03-16,1983-03-21,6,2.956,104.57,104.146,202
42,1983-09-18,1983-09-22,5,2.714,103.175,102.746,222
42,1983-09-24,1983-09-28,5,2.424,103.222,102.766,224
42,1983-11-15,1983-11-22,8,4.453,103.38,102.538,242
42,1983-12-18,1983-12-22,5,1.809,103.907,103.517,248
42,1983-12-28,1984-01-03,7,5.841,103.552,102.538,252
42,1984-01-24,1984-01-28,5,7.264,103.223,102.228,260
42,1984-02-27,1984-03-02,5,7.692,103.446,102.279,274
42,1984-03-25,1984-03-31,7,5.178,104.344,103.338,282
42,1984-11-01,1984-11-05,5,3,103.223,102.651,324
42,1984-12-14,1984-12-19,6,2.066,103.897,103.255,334
