Dam_ID,metric,sen_slope,mk_tau,mean_value,pct_sen_slope,inde_p,inde_dep,inde_h,inde_trend,ar1_p,ar1_dep,ar1_h,ar1_trend,ltp_p,ltp_dep,ltp_h,ltp_trend
41,total_duration_below_threshold,24.67,0.078,73.1,33.7,0.483611497326453,0,FALSE,0.617,0.550493170695724,0.171,FALSE,0.617,0.747912837657584,0.657,FALSE,0.617
42,total_duration_below_threshold,0,0.006,73.25,0,0.962809390171891,0,FALSE,0,0.981692293416347,0.662,FALSE,0,0.989311571121699,0.845,FALSE,0
55,total_duration_below_threshold,0,-0.005,73.08,0,0.971308960408085,0,FALSE,0,0.979635993662222,0.357,FALSE,0,0.989033323670958,0.719,FALSE,0
57,total_duration_below_threshold,0,-0.155,73.1,0,0.113228985946772,0,FALSE,0,0.304531114617011,0.442,FALSE,0,0.573834641033677,0.71,FALSE,0
60,total_duration_below_threshold,-141.06,-0.442,73.12,-192.9,5.657110201605e-5,0,TRUE,-3.527,0.0459521537193757,0.657,TRUE,-3.527,0.121989420777851,0.726,FALSE,-3.527
63,total_duration_below_threshold,-14.84,-0.174,73.1,-20.3,0.107373392284737,0,FALSE,-0.371,0.278741712938431,0.408,FALSE,-0.371,0.40170647841352,0.6,FALSE,-0.371
72,total_duration_below_threshold,14.42,0.063,73.1,19.7,0.575792627194712,0,FALSE,0.36,0.623776169889426,0.142,FALSE,0.36,0.746556595608732,0.57,FALSE,0.36
80,total_duration_below_threshold,93.33,0.35,73.1,127.7,0.00151604878795999,0,TRUE,2.333,0.0188835563819011,0.316,TRUE,2.333,0.170602893375989,0.681,FALSE,2.333
83,total_duration_below_threshold,107.6,0.378,73.08,147.2,6.0986667633227e-4,0,TRUE,2.69,0.0112988460396485,0.317,TRUE,2.69,0.0165570521294342,0.5,TRUE,2.69
85,total_duration_below_threshold,71.31,0.26,73.33,97.3,0.0185572231979859,0,TRUE,1.783,0.132824881243014,0.456,FALSE,1.783,0.382046934909941,0.741,FALSE,1.783
88,total_duration_below_threshold,32.36,0.121,73.05,44.3,0.27843552049416,0,FALSE,0.809,0.347975061637207,0.155,FALSE,0.809,0.479026706151296,0.525,FALSE,0.809
