DAM_ID,DAM_NAME,STATE,LONG,LAT,CAP_MCM,MAIN_USE,res_cat,mean_within_year_fraction,mean_over_year_fraction,sd_max_v_min
41,Ross,Washington,-121.067305,48.732466,1791.9,Hydroelectricity,Within-Year,0.978,0.022,0.568
42,Diablo,Washington,-121.13032,48.714583,111,Hydroelectricity,Within-Year,0.971,0.029,0.155
55,Keechelus,Washington,-121.340171,47.323654,194.9,Irrigation,Within-Year,0.934,0.066,0.882
57,Kachess,Washington,-121.205208,47.265956,302.2,Irrigation,Within-Year,0.944,0.056,0.757
60,Bumping Lake,Washington,-121.302083,46.86875,41.6,Irrigation,Within-Year,0.983,0.017,0.37
63,Tieton,Washington,-121.128322,46.654792,244.2,Irrigation,Within-Year,0.977,0.023,0.355
72,Scoggins Reservoir,Oregon,-123.199777,45.47449,74,Irrigation,Within-Year,0.997,0.003,0.078
80,Detroit,Oregon,-122.247917,44.719354,561.2,Hydroelectricity,Within-Year,0.979,0.021,1.792
83,Green Peter,Oregon,-122.547437,44.451859,530.4,Flood control,Within-Year,0.968,0.032,1.565
85,Foster,Oregon,-122.668049,44.418013,75.2,Hydroelectricity,Within-Year,0.988,0.012,0.628
88,Blue River Dam,Oregon,-122.328125,44.17358,109.8,Flood control,Within-Year,0.974,0.026,20.021
89,Cougar,Oregon,-122.240036,44.126141,270.1,Hydroelectricity,Within-Year,0.918,0.082,2.994
90,Fern Ridge,Oregon,-123.296875,44.117518,149.3,Flood control,Within-Year,0.973,0.027,2.728
91,Arthur R. Bowman,Oregon,-120.78475,44.111562,188.5,Irrigation,Within-Year,0.921,0.077,0.934
93,Dexter,Oregon,-122.805208,43.922071,36.9,Hydroelectricity,Within-Year,0.948,0.052,0.488
94,Lookout Point,Oregon,-122.750316,43.913909,589.2,Flood control,Within-Year,0.931,0.069,7.898
97,Dorena,Oregon,-122.954278,43.78714,161.6,Flood control,Within-Year,0.97,0.03,2.179
99,Cottage Grove,Oregon,-123.05623,43.714163,61.7,Flood control,Within-Year,0.951,0.049,4.303
